Order;University;City;Tuition_fee;Department;Website;Ranking
1;HACETTEPE UNIVERSITY;ANKARA;79573;Archaeology, Area Studies, Languages, Religious Studies, Literature, Philosophy, General Studies, Computer Engineering, Computer Programming, Informatics, Multimedia, Programming, Psychology, Career Counseling, Coaching, Pedagogy, Adult Education, Public Law, Legal Advice, Civil Law, International Law, Criminal Law, Real Estate Management, Architecture, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Chemical and Materials Engineering, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Sociology, International Relations, Writing, Human Geography, Veterinary Medicine, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences, Dance, Handicrafts, Music, Art, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies;https://internationalstudent2.hacettepe.edu.tr/en/menu/international_student_office-13;1
2;MIDDLE EAST TECHNICAL UNIVERSITY;ANKARA;128828;FOREIGN LANGUAGES, English Language, Arabic Language, Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychology, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art, Social Sciences, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Fundamental Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical and Electronics Engineering, Industrial Engineering, Food Engineering, Surveying Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Trade and Logistics, Gastronomy, Culinary Arts, Recreation Management, Tourism Guidance, Tourism Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine;http://www.odu.edu.tr/;2
3;Istanbul University;ISTANBUL;118626;Archaeology, Area Studies, Languages, Religious Studies, Literature, Philosophy, General Studies, Computer Engineering, Computer Programming, Informatics, Multimedia, Psychology, Career Counseling, Coaching, Pedagogy, Adult Education, Legal Advice, Civil Law, International Law, Criminal Law, Real Estate Management, Architecture, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Chemical and Materials Engineering, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC MANAGEMENT, Library Research, Media, Politics, Social Sciences, Sociology, International Relations, Writing, Human Geography, Veterinary Medicine, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences, Dance, Crafts, Music, Art, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies;www.istanbul.edu.tr;3
4;ISTANBUL TECHNICAL UNIVERSITY;ISTANBUL;79444;Criminal Law, Legal Research, Public Law, Legal Advice, Civil Law, International Law, Beauty Treatment, Massage, Hairdressing, Health and Fitness, Therapeutic, MBA, Maintenance Service, Public Works, Real Estate Management, Architecture, Planning, Surveying, Construction, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil&Gas Operations, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, Public Administration, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Horticulture, Plant and Crop Science;www.itu.edu.tr;4
5;ANKARA UNIVERSITY;ANKARA;70124;Archaeology, Area Studies, Religious Studies, Literature, Philosophy, FOREIGN LANGUAGES, English Language, Arabic Language, Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychology, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art-Work, Social Studies, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Basic Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical-Electronics Engineering, Industrial Engineering, Food Engineering, Surveying Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Trade and Logistics, Gastronomy Culinary Arts, Recreation Management, Tourism Guidance, Tourism Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine;https://www.ankara.edu.tr/;5
6;GAZI UNIVERSITY;ANKARA;113792;Archaeology, Area Studies, Languages, Religious Studies, Literature, Philosophy, General Studies, Computer Engineering, Computer Programming, Informatics, Multimedia, Psychology, Coaching, Pedagogy, Adult Education, Legal Advice, Civil Law, International Law, Criminal Law, Real Estate Management, Architecture, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Electrical and Electronics Engineering, General Engineering and Technology, Power and Energy Engineering, Chemical and Materials Engineering, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Medicine, Aviation, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Sociology, International Relations, Writing, Human Geography, Veterinary Medicine, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences;http://www.gazi.edu.tr;6
7;AEGEAN UNIVERSITY;IZMIR;32300;Archaeology, Area Studies, Religious Studies, Literature, Philosophy, FOREIGN LANGUAGES, English Language, Arabic Language, Curriculum and Instruction, Measurement and Evaluation in Education, Guidance and Psychology, Educational Management, Educational Technologies, Mentally Handicapped, Hearing Impaired, Visually Impaired, Mathematics, ART, Music, Art-Work, Social Studies, Turkish Education, Dentist, Pharmacy, Archaeology, Biology, Geography, Eastern Languages ??and Literatures, Physics, Chemistry, Mathematics, Molecular Biology and Genetics, Interpreter and Translation Department, Sociology, History, Turkish Language and Literature, Data Science and Analytics, Radio Television and Cinema, Architecture, Painting, Econometrics, Economics, Business, Public Administration, Finance, Management Information Systems, Philosophy and Religious Sciences, Islamic History and Arts, Basic Islamic Sciences, Computer Engineering, Environmental Engineering, Electrical-Electronics Engineering, Industrial Engineering, Food Engineering, Geomatics Engineering, Civil Engineering, Mechanical Engineering, Software Engineering, Nursing, Physiotherapy and Rehabilitation, Nutrition and Dietetics, Perfusion, International Trade and Logistics, Gastronomy Culinary, Arts, Recreation Management, Basic Sciences, Clinical Sciences, Animal Science, Horticulture, Plant Protection, Agricultural Economics, Agricultural Machinery, Technologies Engineering, Field Crops, Agricultural Structures and Irrigation, Soil Science, Medicine, Anthropology, Linguistics, Economics, Environmental Management, Film and Television;https://ege.edu.tr;7
8;BOGAZICI UNIVERSITY;ISTANBUL;114861;Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil & Gas Processes, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Gardening, Plant and Crop science, Agriculture, Veterinary medicine, Farm management, Astronomy, Biology, Biomedical science, Natural geography, Physics, Forensic science, General science, Food engineering and technology, Chemistry, Materials science, Mathematics, Sports science, Life sciences, Earth sciences, Environmental sciences, Dance, Handicrafts, Non-industrial design, Industrial design, Graphic design, Fashion and textile design, Music, Art, Art administration, Theatre and drama studies, Interior design, E-commerce, Finance, Entrepreneurship, Quality management, Accounting, Office administration, Marketing, Retail, Transportation and logistics, Management, Human resources management, Business studies, Languages, Computer engineering;http://adaylar.boun.edu.tr/en-EN/Home;8
9;GEBZE TECHNICAL UNIVERSITY;ISTANBUL;8178;Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil & Gas Processes, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Horticulture, Plant and Crop Science, Agriculture, Veterinary Medicine, Farm Management, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences, E-commerce, Finance, Entrepreneurship, Quality Management, Accounting, Office Administration, Marketing, Retail, Transportation and Logistics, Management, Human Resources Management, Business Studies, Languages, Computer Engineering,;www.gtu.edu.tr;9
10;YILDIZ TECHNICAL UNIVERSITY;ISTANBUL;60666;Civil Law, International Law, Beauty Therapy, Massage, Hairdressing, Health and Fitness, Therapeutic, MBA, Maintenance Service, Public Works, Real Estate Management, Architecture, Planning, Surveying, Construction, Vehicle Engineering, Biomedical Engineering, Environmental Engineering, Marine Engineering, Electrical Engineering, Electronic Engineering, General Engineering and Technology, Power and Energy Engineering, Aerospace Engineering, Quality Control, Chemical and Materials Engineering, Mining and Oil & Gas Operations, Mechanical Engineering, Metallurgy, Telecommunications, Structural Engineering, Manufacturing and Production, Civil Engineering, Nutrition and Health, Consulting, Dentistry, Midwifery, Pharmacology, Physiology, Physiotherapy, Nursing, Public Health, Ophthalmology, Psychology, Health and Safety, Health Studies, Complementary Medicine, Medicine, Aviation, Hospitality, Hotel Management, Travel and Tourism, Holiday Management, Food and Beverage Production, Catering, Anthropology, Linguistics, Economics, Environmental Management, Film and Television, Photography, Journalism, International Development, PUBLIC ADMINISTRATION, Library Research, Media, Politics, Social Sciences, Social Work, Sociology, International Relations, Writing, Human Geography, Horticulture, Plant and Crop Science, Agriculture, Veterinary Medicine, Farm Management, Astronomy, Biology, Biomedical Science, Natural Geography, Physics, Forensic Science, General Science, Food Engineering and Technology, Chemistry, Materials Science, Mathematics, Sports Science, Life Sciences, Earth Sciences, Environmental Sciences;http://www.yildiz.edu.tr;10
